id,X,Y
Surtidora_de_aves,1351,441
Asadero_de_pollos,1103,372
Asadero_de_Pollo_Palenke,1467,703
Asadero_Pollo_Rico_los_Boyacos,1412,411
POLLOS_SAVICOL_VILLAVICENCIO,761,759
Asadero_Restaurante_Rico_Pollo,948,579
MI_POLLO_DORADITO,455,876
Asadero_De_Pollos_La_Chispa_Ardiente,1373,1463
Frisby_Centro_Comercial_Unicentro,826,720
Pollo_Doradito,994,540
Frisby_Nogales,880,1166
Pollo_Tropical,1467,1348
Asadero_Brasa_y_Pollo,964,248
Asados_Pio_Pio,1167,1218
Frisby_Primavera_Villavicencio,558,1114
Mi_Pollo_Doradito,558,909
Pollo_Doradito_RVC,1073,1340
Las_Brasas_Rojas_Asadero_de_Pollos,1569,515
Mi_Pollo_Doradito_Caudal,940,96
Avellano,1683,347
